Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Napheesa Collier,MIN,F,34,1131,34,34,33.3,4.9,10.0,.490,0.9,2.4,.361,4.0,7.6,.531,2.4,3.0,.792,1.8,6.6,2.6,1.9,0.9,1.9,2.9,13.1
Sydney Colson,LVA,G,33,379,33,0,11.5,1.1,2.5,.440,0.3,0.6,.450,0.8,1.9,.438,0.8,1.0,.818,0.1,0.7,1.8,0.9,0.1,0.8,1.2,3.3
Kahleah Copper,CHI,G-F,34,502,34,0,14.8,2.3,6.0,.387,0.4,1.4,.306,1.9,4.6,.413,1.6,2.1,.771,0.4,1.9,0.9,0.4,0.1,1.3,1.5,6.7
Sophie Cunningham,PHO,G,32,389,32,5,12.2,0.9,2.5,.354,0.4,1.4,.304,0.4,1.0,.424,0.9,1.1,.882,0.2,1.4,0.8,0.3,0.1,0.6,1.7,3.1
Damiris Dantas,MIN,F,26,667,26,26,25.7,3.4,7.9,.432,1.6,4.1,.393,1.8,3.8,.475,0.7,1.0,.731,1.1,4.5,3.2,0.7,0.6,1.7,2.8,9.2
Kaela Davis,DAL,F,33,634,33,16,19.2,2.3,7.0,.329,0.5,1.5,.314,1.8,5.5,.333,0.9,1.0,.879,0.5,2.2,2.1,0.5,0.2,2.2,2.4,6.0
Elena Delle Donne,WAS,F-G,31,901,31,31,29.1,7.1,13.8,.515,1.7,3.9,.430,5.4,9.9,.549,3.7,3.8,.974,1.5,8.2,2.2,0.6,1.3,1.0,1.0,19.5
Diamond DeShields,CHI,G,34,1027,34,34,30.2,5.6,14.1,.399,1.5,4.6,.316,4.2,9.5,.440,3.4,4.1,.836,0.9,5.5,2.4,1.3,0.4,2.2,2.7,16.2
Blake Dietrick,SEA,G,17,106,17,1,6.2,0.1,0.6,.100,0.0,0.4,.000,0.1,0.2,.250,0.2,0.4,.667,0.1,0.6,0.9,0.2,0.1,0.6,0.8,0.4
Stefanie Dolson,CHI,C,34,850,34,34,25.0,3.6,6.9,.519,0.9,2.4,.361,2.7,4.4,.607,1.3,1.4,.898,1.2,5.6,2.2,0.6,1.0,1.9,3.7,9.3
Candice Dupree,IND,F,34,1043,34,34,30.7,5.1,10.9,.472,0.0,0.1,.000,5.1,10.8,.475,1.4,1.6,.839,0.7,5.0,2.5,0.4,0.6,1.5,1.0,11.6
AD Durr,NYL,G,18,480,18,15,26.7,3.9,8.4,.467,0.8,2.8,.294,3.1,5.6,.554,1.0,1.2,.818,0.3,1.6,1.7,0.6,0.4,1.2,1.9,9.7
Temi Fagbenle,MIN,C,18,271,18,0,15.1,2.3,4.5,.519,0.1,0.3,.167,2.3,4.2,.547,0.7,1.0,.722,1.2,2.9,0.8,0.3,0.3,1.8,2.3,5.4
Jamierra Faulkner,CHI,G,13,72,13,0,5.5,0.5,1.4,.333,0.1,0.7,.111,0.4,0.7,.556,0.3,0.6,.500,0.2,0.3,0.8,0.2,0.0,0.4,0.6,1.3
Sylvia Fowles,MIN,C,34,1003,34,34,29.5,5.8,9.9,.588,0.0,0.0,,5.8,9.9,.588,2.1,2.9,.707,2.7,8.9,1.5,0.9,1.4,2.0,2.6,13.6
Allisha Gray,DAL,G,34,1035,34,29,30.4,3.4,7.5,.457,1.0,2.5,.384,2.5,5.0,.494,2.8,3.3,.848,1.3,4.1,2.3,1.2,0.4,1.4,2.6,10.6
Chelsea Gray,LAS,G,34,1108,34,34,32.6,5.5,13.3,.416,1.5,3.9,.382,4.1,9.4,.430,1.9,2.1,.917,0.4,3.8,5.9,1.0,0.1,3.2,1.4,14.5
Reshanda Gray,NYL,F,34,519,34,10,15.3,2.1,4.4,.473,0.0,0.1,.500,2.1,4.4,.473,1.0,1.8,.565,1.8,5.2,0.5,0.5,0.2,1.2,3.3,5.2
Brittney Griner,PHO,C,31,1018,31,31,32.8,8.7,15.5,.564,0.0,0.1,.333,8.7,15.4,.565,3.3,4.0,.808,1.6,7.2,2.4,0.7,2.0,2.5,2.7,20.7
Marie Gulich,ATL,C,31,349,31,1,11.3,1.3,3.5,.361,0.3,0.8,.320,1.0,2.7,.373,0.5,0.7,.727,1.1,2.7,0.6,0.2,0.8,1.0,2.0,3.3
Megan Gustafson,DAL,C,25,238,25,0,9.5,1.1,2.2,.491,0.0,0.4,.111,1.0,1.8,.565,0.7,0.8,.900,0.8,2.5,0.3,0.2,0.2,0.4,1.0,2.9
Dearica Hamby,LVA,F,34,842,34,9,24.8,4.1,8.5,.488,0.5,1.6,.321,3.6,6.9,.525,2.2,3.0,.718,2.2,7.6,1.9,1.0,0.4,1.8,2.1,11.0
